CompanyName,Sector,Category,Last Price,NAV,P/E,EPS,Paid up,Dir,Pub,Inst,Foreign,Govt
NBL,Bank,A,9.8,18.92,8.31,1.18,30863.2,30.98,47.14,20.73,1.15,0
NRBCBANK,Bank,N,29.7,18.88,12.53,2.37,199,73.32,23.22,3.46,0,0
ABBANK,Bank,B,15.9,34.26,31.80,0.5,8159.37,31.67,41.43,25.44,0.89,0.57
IFIC,Bank,A,15.1,19.18,21.57,0.7,16397.7,4.11,39.55,22.87,0.72,32.75
RUPALIBANK,Bank,A,33.9,46.1,69.18,0.49,4340.69,0,4.98,4.83,0,90.19
EXIMBANK,Bank,A,13.6,23.66,6.83,1.99,14321.5,37.95,34.57,25.95,1.54,0
DHAKABANK,Bank,A,16.3,23.69,7.34,2.22,8731.12,40.12,45.99,12.89,0,0
JAMUNABANK,Bank,A,23.3,34.06,6.58,3.54,7691.26,47.94,45.03,6.68,0.35,0
PREMIERBAN,Bank,A,15.1,23.02,7.09,2.13,10629.7,35.33,43.33,19.75,1.59,0
STANDBANKL,Bank,A,11.1,18.67,10.28,1.08,10258.9,39.49,37.35,22.69,0.47,0
MERCANBANK,Bank,A,16.5,24.61,7.30,2.26,10531.2,37.69,34.71,23.52,4.08,0
SOUTHEASTB,Bank,A,18.3,26.98,10.11,1.81,12088.4,30.18,32.75,35.86,1.21,0
FIRSTSBANK,Bank,A,12.6,20.91,4.30,2.93,9686.6,33.34,43.97,20.35,2.34,0
MTB,Bank,A,23.4,25.03,17.86,1.31,7585.32,43.97,31.67,24.2,0.16,0
NCCBANK,Bank,A,16.7,24.15,7.08,2.36,9658.26,37.58,40.79,21.08,0.55,0
PRIMEBANK,Bank,A,24.3,27.15,15.09,1.61,11521.8,39.02,27.03,33.46,0.49,0
CITYBANK,Bank,A,28.7,31.03,6.54,4.39,10362.9,32.88,42.05,21.63,3.44,0
BRACBANK,Bank,A,52.5,38.63,15.77,3.33,13457.8,46.24,5.88,9.89,37.99,0
ALARABANK,Bank,A,24.4,24.35,10.12,2.41,10848,41.87,36.3,21.08,0.75,0
DUTCHBANGL,Bank,A,86.1,60.65,8.61,10,6524,86.99,8.48,4.52,0.01,0
UCB,Bank,A,18,31.35,7.44,2.42,12374.2,36.67,41.35,20.01,1.16,0.81
PUBALIBANK,Bank,A,26.4,39.63,7.33,3.6,10481.9,31.49,41.09,27,0.42,0
ONEBANKLTD,Bank,A,15,21.31,9.55,1.57,9052.46,32.06,39.06,28.49,0.39,0
UTTARABANK,Bank,A,25.5,36.79,5.96,4.28,5218.41,30.54,46.02,23.04,0.4,0
SHAHJABANK,Bank,A,22.1,20.33,11.33,1.95,10490,48.77,37.66,13.42,0,0
ICBIBANK,Bank,Z,7.1,-15.54,-25.36,-0.28,6846.02,52.76,24.65,22.44,0,0.17
ISLAMIBANK,Bank,A,30.8,40.89,10.34,2.98,16299,51.32,14.11,14.07,20.5,0
TRUSTBANK,Bank,A,37,29.37,13.21,2.8,6631.96,60,22.41,16.91,0.68,0
